0,Time,Internal Clock,MSG
2023-03-08,01:13:41/146/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:41/147/Internal event
2023-03-08,01:13:42/150/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:42/152/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:43/154/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:44/155/Internal event
2023-03-08,01:13:44/156/Internal event
2023-03-08,01:13:45/157/Sent to machine_2
2023-03-08,01:13:45/163/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:46/164/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:46/165/Sent to machine_2
2023-03-08,01:13:47/166/Sent to machine_1
2023-03-08,01:13:47/167/Internal event
2023-03-08,01:13:48/168/Sent to machine_1
2023-03-08,01:13:48/169/Internal event
2023-03-08,01:13:49/170/Internal event
2023-03-08,01:13:49/177/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:50/178/Internal event
2023-03-08,01:13:51/182/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:51/183/Sent to machine_2
2023-03-08,01:13:52/184/Sent to machine_1
2023-03-08,01:13:52/185/Broadcast to all machines
2023-03-08,01:13:53/186/Internal event
2023-03-08,01:13:53/187/Internal event
2023-03-08,01:13:54/195/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:54/196/Internal event
2023-03-08,01:13:55/197/Internal event
2023-03-08,01:13:56/198/Internal event
2023-03-08,01:13:56/199/Internal event
2023-03-08,01:13:57/200/Internal event
2023-03-08,01:13:57/201/Internal event
2023-03-08,01:13:58/202/Internal event
2023-03-08,01:13:59/210/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:59/213/RecFrom:process_1/QueueSize:1
2023-03-08,01:14:00/215/RecFrom:process_1/QueueSize:1
2023-03-08,01:14:00/217/RecFrom:process_1/QueueSize:1
2023-03-08,01:14:01/218/RecFrom:process_1/QueueSize:1
2023-03-08,01:14:01/219/Internal event
2023-03-08,01:14:02/220/Sent to machine_1
2023-03-08,01:14:02/225/RecFrom:process_1/QueueSize:1
2023-03-08,01:14:03/226/Internal event
2023-03-08,01:14:03/227/Internal event
2023-03-08,01:14:04/228/Broadcast to all machines
2023-03-08,01:14:04/229/Sent to machine_1
2023-03-08,01:14:05/230/Internal event
2023-03-08,01:14:06/231/Internal event
2023-03-08,01:14:06/232/Internal event
2023-03-08,01:14:07/233/Internal event
2023-03-08,01:14:07/234/Internal event
2023-03-08,01:14:08/244/RecFrom:process_1/QueueSize:2
2023-03-08,01:14:08/245/RecFrom:process_3/QueueSize:2
2023-03-08,01:14:09/247/RecFrom:process_1/QueueSize:1
2023-03-08,01:14:09/248/Sent to machine_2
